Data,Fechamento
2021-07-08,125700
2021-07-08,125725
2021-07-08,125790
2021-07-08,125800
2021-07-08,125795
2021-07-08,125785
2021-07-08,125860
2021-07-08,125840
2021-07-08,125805
2021-07-08,125825
2021-07-08,125805
2021-07-08,125805
2021-07-08,125850
2021-07-08,125805
2021-07-08,125805
2021-07-08,125835
2021-07-08,125835
2021-07-08,125830
2021-07-08,125810
2021-07-08,125790
2021-07-08,125800
2021-07-08,125870
2021-07-08,125835
2021-07-08,125815
2021-07-08,125830
2021-07-08,125785
2021-07-08,125835
2021-07-08,125820
2021-07-08,125825
2021-07-08,125830
2021-07-08,125775
2021-07-08,125755
2021-07-08,125730
2021-07-08,125805
2021-07-08,125850
2021-07-08,125835
2021-07-08,125875
2021-07-08,125870
2021-07-08,125855
2021-07-08,125840
2021-07-08,125805
2021-07-08,125780
2021-07-08,125765
2021-07-08,125775
2021-07-08,125725
2021-07-08,125695
2021-07-08,125730
2021-07-08,125770
2021-07-08,125740
2021-07-08,125735
2021-07-08,125785
2021-07-08,125785
2021-07-08,125810
2021-07-08,125850
2021-07-08,125875
2021-07-08,125855
2021-07-08,125910
2021-07-08,125785
2021-07-08,125835
2021-07-08,125860
2021-07-08,125875
2021-07-08,125805
2021-07-08,125810
2021-07-08,125750
2021-07-08,125685
2021-07-08,125615
2021-07-08,125590
2021-07-08,125595
2021-07-08,125560
2021-07-08,125605
2021-07-08,125600
2021-07-08,125550
2021-07-08,125545
2021-07-08,125615
2021-07-08,125705
2021-07-08,125695
2021-07-08,125770
2021-07-08,125830
2021-07-08,125845
2021-07-08,125855
2021-07-08,125790
2021-07-08,125735
2021-07-08,125755
2021-07-08,125715
2021-07-08,125775
2021-07-08,125770
2021-07-08,125755
2021-07-08,125750
2021-07-08,125735
2021-07-08,125725
2021-07-08,125705
2021-07-08,125690
2021-07-08,125655
2021-07-08,125635
2021-07-08,125615
2021-07-08,125555
2021-07-08,125455
2021-07-08,125400
2021-07-08,125405
2021-07-08,125390
2021-07-08,125410
2021-07-08,125400
2021-07-08,125445
2021-07-08,125635
2021-07-08,125730
2021-07-08,125710
2021-07-08,125645
2021-07-08,125710
2021-07-08,125750
2021-07-08,125730
2021-07-08,125770
2021-07-08,125805
2021-07-08,125805
2021-07-08,125835
2021-07-08,125810
2021-07-08,125785
2021-07-08,125700
2021-07-08,125700
2021-07-08,125675
2021-07-08,125645
2021-07-08,125595
2021-07-08,125625
2021-07-08,125605
2021-07-08,125645
2021-07-08,125670
2021-07-08,125665
2021-07-08,125755
2021-07-08,125790
2021-07-08,125850
2021-07-08,125825
2021-07-08,125825
2021-07-08,125815
2021-07-08,125835
2021-07-08,125770
2021-07-08,125740
2021-07-08,125755
2021-07-08,125730
2021-07-08,125710
2021-07-08,125700
2021-07-08,125685
2021-07-08,125690
2021-07-08,125645
2021-07-08,125655
2021-07-08,125660
2021-07-08,125580
2021-07-08,125515
2021-07-08,125565
2021-07-08,125570
2021-07-08,125625
2021-07-08,125570
2021-07-08,125520
2021-07-08,125520
2021-07-08,125490
2021-07-08,125480
2021-07-08,125450
2021-07-08,125395
2021-07-08,125360
2021-07-08,125295
2021-07-08,125290
2021-07-08,125360
2021-07-08,125420
2021-07-08,125435
2021-07-08,125460
2021-07-08,125465
2021-07-08,125510
2021-07-08,125520
2021-07-08,125490
2021-07-08,125495
2021-07-08,125485
2021-07-08,125580
2021-07-08,125640
2021-07-08,125615
2021-07-08,125645
2021-07-08,125640
2021-07-08,125685
2021-07-08,125810
2021-07-08,125800
2021-07-08,125780
2021-07-08,125735
2021-07-08,125625
2021-07-08,125770
2021-07-08,125750
2021-07-08,125830
2021-07-08,125925
2021-07-08,125935
2021-07-08,125925
2021-07-08,125905
2021-07-08,125980
2021-07-08,126045
2021-07-08,126020
2021-07-08,126040
2021-07-08,126025
2021-07-08,126030
2021-07-08,126075
2021-07-08,126070
2021-07-08,126035
2021-07-08,126035
2021-07-08,125990
2021-07-08,125940
2021-07-08,126050
2021-07-08,126070
2021-07-08,126085
2021-07-08,126020
2021-07-08,125970
2021-07-08,125900
2021-07-08,125885
2021-07-08,125970
2021-07-08,126130
2021-07-08,126155
2021-07-08,126170
2021-07-08,126200
2021-07-08,126150
2021-07-08,126240
2021-07-08,126245
2021-07-08,126235
2021-07-08,126180
2021-07-08,126195
2021-07-08,126250
2021-07-08,126215
2021-07-08,126165
2021-07-08,126190
2021-07-08,126230
2021-07-08,126270
2021-07-08,126275
2021-07-08,126335
2021-07-08,126350
2021-07-08,126380
2021-07-08,126390
2021-07-08,126345
2021-07-08,126400
2021-07-08,126220
2021-07-08,126140
2021-07-08,126155
2021-07-08,126125
2021-07-08,126120
2021-07-08,126175
2021-07-08,126180
2021-07-08,126190
2021-07-08,126230
2021-07-08,126215
2021-07-08,126195
2021-07-08,126120
2021-07-08,126130
2021-07-08,126205
2021-07-08,126150
2021-07-08,126185
2021-07-08,126205
2021-07-08,126195
2021-07-08,126150
2021-07-08,126165
2021-07-08,126110
2021-07-08,126170
2021-07-08,126120
2021-07-08,126065
2021-07-08,126040
2021-07-08,126075
2021-07-08,126100
2021-07-08,126225
2021-07-08,126165
2021-07-08,126105
2021-07-08,126000
2021-07-08,125965
2021-07-08,125970
2021-07-08,126020
2021-07-08,126010
2021-07-08,126040
2021-07-08,126055
2021-07-08,126065
2021-07-08,126065
2021-07-08,126075
2021-07-08,126105
2021-07-08,126050
2021-07-08,126110
2021-07-08,126090
2021-07-08,126070
2021-07-08,126025
2021-07-08,126080
2021-07-08,126065
2021-07-08,126010
2021-07-08,126090
2021-07-08,126070
2021-07-08,126060
2021-07-08,126070
2021-07-08,126070
2021-07-08,126055
2021-07-08,126090
2021-07-08,126080
2021-07-08,126075
2021-07-08,126125
2021-07-08,126085
2021-07-08,126080
2021-07-08,126090
2021-07-08,126085
2021-07-08,126160
2021-07-08,126105
2021-07-08,126160
2021-07-08,126195
2021-07-08,126130
2021-07-08,126170
2021-07-08,126140
2021-07-08,126135
2021-07-08,126145
2021-07-08,126080
2021-07-08,126105
2021-07-08,126065
2021-07-08,126040
2021-07-08,126010
2021-07-08,126010
2021-07-08,125985
2021-07-08,125930
2021-07-08,125950
2021-07-08,125920
2021-07-08,125955
2021-07-08,126035
2021-07-08,126060
2021-07-08,126125
2021-07-08,126095
2021-07-08,126105
2021-07-08,126135
2021-07-08,126225
2021-07-08,126240
2021-07-08,126165
2021-07-08,126150
2021-07-08,126100
2021-07-08,126105
2021-07-08,126235
2021-07-08,126195
2021-07-08,126105
2021-07-08,126095
2021-07-08,126135
2021-07-08,126160
2021-07-08,126185
2021-07-08,126145
2021-07-08,126005
2021-07-08,125935
2021-07-08,125860
2021-07-08,125795
2021-07-08,125815
2021-07-08,125770
2021-07-08,125770
2021-07-08,125795
2021-07-08,125885
2021-07-08,125915
2021-07-08,125895
2021-07-08,125810
2021-07-08,125815
2021-07-08,125800
2021-07-08,125785
2021-07-08,125830
2021-07-08,125845
2021-07-08,125675
2021-07-08,125610
2021-07-08,125545
2021-07-08,125545
2021-07-08,125470
2021-07-08,125380
2021-07-08,125305
2021-07-08,125305
2021-07-08,125355
2021-07-08,125330
2021-07-08,125245
2021-07-08,125210
2021-07-08,125230
2021-07-08,125165
2021-07-08,125140
2021-07-08,125090
2021-07-08,125105
2021-07-08,125120
2021-07-08,125175
2021-07-08,125235
2021-07-08,125330
2021-07-08,125265
2021-07-08,125120
2021-07-08,125020
2021-07-08,125180
2021-07-08,125225
2021-07-08,125080
2021-07-08,124980
2021-07-08,125045
2021-07-08,125020
2021-07-08,125010
2021-07-08,125055
2021-07-08,124995
2021-07-08,125050
2021-07-08,125130
2021-07-08,125035
2021-07-08,125065
2021-07-08,125005
2021-07-08,124865
2021-07-08,124845
2021-07-08,124820
2021-07-08,124830
2021-07-08,124770
2021-07-08,124830
2021-07-08,124860
2021-07-08,124965
2021-07-08,125105
2021-07-08,125135
2021-07-08,125185
2021-07-08,125155
2021-07-08,125215
2021-07-08,125155
2021-07-08,125065
2021-07-08,125070
2021-07-08,125115
2021-07-08,125075
2021-07-08,125065
2021-07-08,125160
2021-07-08,125040
2021-07-08,125105
2021-07-08,125160
2021-07-08,125235
2021-07-08,125320
2021-07-08,125185
2021-07-08,125180
2021-07-08,125250
2021-07-08,125400
2021-07-08,125380
2021-07-08,125370
2021-07-08,125385
2021-07-08,125320
2021-07-08,125450
2021-07-08,125380
2021-07-08,125430
2021-07-08,125290
2021-07-08,125165
2021-07-08,125140
2021-07-08,125090
2021-07-08,125145
2021-07-08,125120
2021-07-08,125185
2021-07-08,125250
2021-07-08,125255
2021-07-08,125280
2021-07-08,125280
2021-07-08,125400
2021-07-08,125525
2021-07-08,125480
2021-07-08,125450
2021-07-08,125575
2021-07-08,125530
2021-07-08,125575
2021-07-08,125625
2021-07-08,125700
2021-07-08,125780
2021-07-08,125740
2021-07-08,125660
2021-07-08,125695
2021-07-08,125660
2021-07-08,125660
2021-07-08,125630
2021-07-08,125615
2021-07-08,125625
2021-07-08,125510
2021-07-08,125445
2021-07-08,125450
2021-07-08,125370
2021-07-08,125240
2021-07-08,125255
2021-07-08,125350
2021-07-08,125425
2021-07-08,125395
2021-07-08,125335
2021-07-08,125335
2021-07-08,125265
2021-07-08,125260
2021-07-08,125190
2021-07-08,125170
2021-07-08,125210
2021-07-08,125265
2021-07-08,125295
2021-07-08,125275
2021-07-08,125170
2021-07-08,125160
2021-07-08,125140
2021-07-08,125170
2021-07-08,125055
2021-07-08,125135
2021-07-08,125150
2021-07-08,125170
2021-07-08,125145
2021-07-08,125195
2021-07-08,125150
2021-07-08,125210
2021-07-08,125220
2021-07-08,125210
2021-07-08,125270
2021-07-08,125230
2021-07-08,125210
2021-07-08,125215
2021-07-08,125200
2021-07-08,125190
2021-07-08,125380
2021-07-08,125375
2021-07-08,125405
2021-07-08,125460
2021-07-08,125485
2021-07-08,125450
2021-07-08,125410
2021-07-08,125325
2021-07-08,125305
2021-07-08,125320
2021-07-08,125365
2021-07-08,125380
2021-07-08,125355
2021-07-08,125395
2021-07-08,125330
2021-07-08,125365
2021-07-08,125380
2021-07-08,125455
2021-07-08,125385
2021-07-08,125370
2021-07-08,125455
2021-07-08,125395
2021-07-08,125385
2021-07-08,125375
2021-07-08,125350
2021-07-08,125250
2021-07-08,125275
2021-07-08,125195
2021-07-08,125140
2021-07-08,125035
2021-07-08,125000
2021-07-08,125065
2021-07-08,124955
2021-07-08,125045
2021-07-08,125030
2021-07-08,125090
2021-07-08,125185
2021-07-08,125105
2021-07-08,125125
2021-07-08,125240
2021-07-08,125330
